Date,Price
03-01-2017,1702
04-01-2017,1701
05-01-2017,1709.5
06-01-2017,1722
09-01-2017,1717
10-01-2017,1757.5
11-01-2017,1748.5
12-01-2017,1788
13-01-2017,1790.5
16-01-2017,1812
17-01-2017,1805.5
18-01-2017,1800.5
19-01-2017,1832
20-01-2017,1839
23-01-2017,1870
24-01-2017,1870
25-01-2017,1849
26-01-2017,1837.5
27-01-2017,1827.5
30-01-2017,1807
31-01-2017,1820.5
01-02-2017,1818
02-02-2017,1813
03-02-2017,1808.5
06-02-2017,1812
07-02-2017,1809
08-02-2017,1821
09-02-2017,1839
10-02-2017,1849
13-02-2017,1867.5
14-02-2017,1893
15-02-2017,1871
16-02-2017,1878
17-02-2017,1865.5
20-02-2017,1878
21-02-2017,1878
22-02-2017,1873
23-02-2017,1882.5
24-02-2017,1877
27-02-2017,1908
28-02-2017,1895
01-03-2017,1934
02-03-2017,1929
03-03-2017,1909
06-03-2017,1868
07-03-2017,1858
08-03-2017,1881
09-03-2017,1847
10-03-2017,1884.5
13-03-2017,1882
14-03-2017,1851
15-03-2017,1863
16-03-2017,1895
17-03-2017,1901
20-03-2017,1908
21-03-2017,1918
22-03-2017,1910
23-03-2017,1913
24-03-2017,1917.5
27-03-2017,1916
28-03-2017,1918.5
29-03-2017,1931
30-03-2017,1955
31-03-2017,1946.5
03-04-2017,1948.5
04-04-2017,1938
05-04-2017,1962
06-04-2017,1956
07-04-2017,1929.5
10-04-2017,1929
11-04-2017,1907.5
12-04-2017,1907
13-04-2017,1890
18-04-2017,1915.5
19-04-2017,1895.5
20-04-2017,1933
21-04-2017,1932.5
24-04-2017,1928
25-04-2017,1943
26-04-2017,1957.5
27-04-2017,1954.5
28-04-2017,1930
02-05-2017,1909
03-05-2017,1916
04-05-2017,1909.5
05-05-2017,1907
08-05-2017,1879
09-05-2017,1874
10-05-2017,1870
11-05-2017,1887
12-05-2017,1880
15-05-2017,1899.5
16-05-2017,1915
17-05-2017,1928
18-05-2017,1905
19-05-2017,1938
22-05-2017,1943
23-05-2017,1926
24-05-2017,1944
25-05-2017,1954
26-05-2017,1950
30-05-2017,1943.5
31-05-2017,1919.5
01-06-2017,1930
02-06-2017,1916.5
05-06-2017,1917.5
06-06-2017,1893
07-06-2017,1903.5
08-06-2017,1902.5
09-06-2017,1901.5
12-06-2017,1888
13-06-2017,1877
14-06-2017,1886.5
15-06-2017,1864
16-06-2017,1861
19-06-2017,1861.5
20-06-2017,1889
21-06-2017,1865.5
22-06-2017,1872
23-06-2017,1868
26-06-2017,1855
27-06-2017,1861.5
28-06-2017,1886
29-06-2017,1897.5
30-06-2017,1908.5
03-07-2017,1917.5
04-07-2017,1903.5
05-07-2017,1913
06-07-2017,1925.5
07-07-2017,1920
10-07-2017,1914
11-07-2017,1879
12-07-2017,1877
13-07-2017,1911
14-07-2017,1904
17-07-2017,1901
18-07-2017,1887
19-07-2017,1907
20-07-2017,1898
21-07-2017,1901
24-07-2017,1890
25-07-2017,1896.5
26-07-2017,1912
27-07-2017,1923
28-07-2017,1892
31-07-2017,1904
01-08-2017,1887
02-08-2017,1904
03-08-2017,1891.5
04-08-2017,1890
07-08-2017,1920
08-08-2017,1981
09-08-2017,2018
10-08-2017,2024
11-08-2017,2040.5
14-08-2017,2030
15-08-2017,2056
16-08-2017,2075
17-08-2017,2095.5
18-08-2017,2104.5
21-08-2017,2084.5
22-08-2017,2104.5
23-08-2017,2082.5
24-08-2017,2105
25-08-2017,2096.5
29-08-2017,2092
30-08-2017,2066.5
31-08-2017,2113.5
01-09-2017,2113.5
04-09-2017,2095.5
05-09-2017,2082
06-09-2017,2069.5
07-09-2017,2075
08-09-2017,2072
11-09-2017,2100.5
12-09-2017,2083
13-09-2017,2083
14-09-2017,2065
15-09-2017,2068
18-09-2017,2066.5
19-09-2017,2107.5
20-09-2017,2164
21-09-2017,2154
22-09-2017,2137
25-09-2017,2128
26-09-2017,2116
27-09-2017,2117
28-09-2017,2102.5
29-09-2017,2110.5
02-10-2017,2067
03-10-2017,2114.5
04-10-2017,2139.5
05-10-2017,2124
06-10-2017,2121.5
09-10-2017,2135
10-10-2017,2133
11-10-2017,2124
12-10-2017,2117.5
13-10-2017,2140
16-10-2017,2144
17-10-2017,2111
18-10-2017,2106.5
19-10-2017,2128.5
20-10-2017,2159
23-10-2017,2133.5
24-10-2017,2144
25-10-2017,2149.5
26-10-2017,2175
27-10-2017,2119
30-10-2017,2143
31-10-2017,2140
01-11-2017,2188
02-11-2017,2152
03-11-2017,2165
06-11-2017,2152
07-11-2017,2131
08-11-2017,2103.5
09-11-2017,2078
10-11-2017,2090
13-11-2017,2100
14-11-2017,2085
15-11-2017,2082
16-11-2017,2106
17-11-2017,2077
20-11-2017,2067.5
21-11-2017,2062
22-11-2017,2085
23-11-2017,2090
24-11-2017,2104
27-11-2017,2109.5
28-11-2017,2100
29-11-2017,2062
30-11-2017,2033
01-12-2017,2046.5
04-12-2017,2052.5
05-12-2017,2052
06-12-2017,2028.5
07-12-2017,1994
08-12-2017,1992
11-12-2017,1991.5
12-12-2017,2004
13-12-2017,1997
14-12-2017,2017
15-12-2017,2036
18-12-2017,2047.5
19-12-2017,2061
20-12-2017,2092
21-12-2017,2108.5
22-12-2017,2137
27-12-2017,2199.5
28-12-2017,2246
29-12-2017,2241.5
02-01-2018,2256
03-01-2018,2241
04-01-2018,2230
05-01-2018,2205.5
08-01-2018,2177.5
09-01-2018,2143.5
10-01-2018,2159
11-01-2018,2179
12-01-2018,2215
15-01-2018,2227.5
16-01-2018,2172
17-01-2018,2187
18-01-2018,2225
19-01-2018,2256
22-01-2018,2235
23-01-2018,2213.5
24-01-2018,2216
25-01-2018,2237.5
26-01-2018,2238
29-01-2018,2251.5
30-01-2018,2229
31-01-2018,2224.5
01-02-2018,2218
02-02-2018,2228
05-02-2018,2202
06-02-2018,2196
07-02-2018,2181.5
08-02-2018,2168
09-02-2018,2142
12-02-2018,2129.5
13-02-2018,2123.5
14-02-2018,2138
15-02-2018,2164
16-02-2018,2189.5
19-02-2018,2266
20-02-2018,2239
21-02-2018,2190
22-02-2018,2194
23-02-2018,2210
26-02-2018,2188.5
27-02-2018,2172.5
28-02-2018,2158.5
01-03-2018,2143
02-03-2018,2144
05-03-2018,2135
06-03-2018,2136
07-03-2018,2112.5
08-03-2018,2082.5
09-03-2018,2078.5
12-03-2018,2097
13-03-2018,2080
14-03-2018,2096
15-03-2018,2062.5
16-03-2018,2069
19-03-2018,2070.5
20-03-2018,2073
21-03-2018,2056.5
22-03-2018,2059
23-03-2018,2049
26-03-2018,2022
27-03-2018,2035
28-03-2018,2009
29-03-2018,1997
